book_code,person_counter,role
54543,714,writer
38958,715,writer
52536,716,writer
52536,717,translator
104653,718,writer
94596,67,writer
94596,719,writer
4647,720,writer
4647,721,translator
94309,205,writer
89470,530,writer
4035,723,writer
4035,724,translator
29017,725,writer
29017,726,translator
75048,727,writer
75048,728,writer
61176,730,writer
61176,731,translator
86393,733,writer
36094,734,writer
36094,735,translator
45044,736,writer
45044,737,translator
48730,738,writer
48730,739,translator
93071,740,writer
26824,741,writer
40003,743,writer
40003,744,translator
107388,745,writer
89645,746,writer
89645,747,translator
61774,748,writer
61774,749,translator
96511,750,writer
96511,751,translator
37541,754,writer
37541,755,translator
22841,752,writer
22841,753,translator
106789,756,writer
113027,296,writer
81823,757,writer
106830,758,writer
106830,476,writer
56810,759,writer
61962,760,writer
61962,761,translator
20083,762,writer
20083,763,translator
20083,764,translator
49934,765,writer
49934,766,translator
112137,599,writer
105027,67,writer
105027,767,writer
105027,170,translator
105027,768,translator
71721,734,writer
71721,769,translator
95413,770,writer
95413,771,translator
3959,772,writer
3959,773,translator
109648,67,writer
109648,775,writer
67441,776,writer
94843,777,writer
94843,778,translator
27222,779,writer
27222,780,translator
103479,638,writer
10448,638,writer
98655,782,writer
80044,781,writer
38753,784,writer
38753,785,translator
33587,67,writer
33587,786,writer
63772,787,writer
63772,788,translator
120118,789,writer
22280,790,writer
67141,1260,writer
79722,793,writer
84893,794,writer
84893,795,translator
38230,796,writer
38230,797,translator
24560,798,writer
50820,799,writer
40860,800,writer
40860,801,translator
43069,386,writer
43069,387,translator
43260,804,writer
43260,805,translator
60434,806,writer
50632,807,writer
24888,322,writer
25381,808,writer
115310,809,writer
37196,810,writer
37196,811,translator
10985,812,writer
10985,813,translator
52823,814,writer
76730,815,writer
104255,816,writer
104255,817,translator
34851,818,writer
17913,819,writer
17913,199,translator
5006,820,writer
5006,821,translator
54648,824,writer
54648,825,translator
85327,826,writer
81134,827,writer
57507,828,writer
57507,829,translator
64092,830,writer
28241,381,writer
117668,831,writer
34813,705,writer
37871,832,writer
8747,833,writer
8747,834,translator
6344,835,writer
47812,343,writer
98055,836,writer
70752,837,writer
74945,838,writer
73818,839,writer
22894,249,writer
22894,1913,translator
120781,843,writer
115941,844,writer
115941,845,translator
103999,120,writer
101758,849,writer
101758,850,translator
21264,851,writer
21264,852,translator
91596,853,writer
91596,854,translator
82176,855,writer
51582,856,writer
49890,857,writer
30280,858,writer
103693,859,writer
103693,309,translator
93401,860,writer
68083,861,writer
115384,868,writer
115384,869,translator
55304,870,writer
55304,871,translator
98757,872,writer
97070,67,writer
97070,873,writer
47722,874,writer
47722,875,translator
62609,876,writer
39681,879,writer
39681,880,translator
100748,882,writer
100748,883,translator
102014,138,writer
88166,884,writer
102014,139,translator
31777,885,writer
45720,888,writer
45720,889,translator
38628,890,writer
95703,891,writer
95703,892,translator
1895,893,writer
1895,894,translator
33286,895,writer
33286,896,translator
17466,897,writer
17466,898,translator
43523,647,writer
43523,11,translator
12247,899,writer
110851,906,writer
95105,907,writer
95105,908,translator
28609,909,writer
48341,463,writer
48341,911,translator
51319,913,writer
51319,914,translator
49129,915,writer
49129,916,translator
74372,917,writer
74372,918,translator
93739,67,writer
27623,919,writer
80790,920,writer
43909,921,writer
36341,924,writer
106375,925,writer
