code,title_persian,title_english,price,discount,grade,code,shabak,page_count,release_year_sh,release_year_mi,exist,earliest_access,print_series,ghate,cover
19130,درآمدی به فلسفه دین, An Introduction to the Philosophy of Religion,224000,20,3.35,19130,978-6220602514,416,1402,2008,True,1402-07-06,2,رقعی,شومیز
72247,بلوغ: آنچه پسران باید بدانند, Guy Stuff: The Body Book for Boys,47200,20,3.6,72247,978-6227924329,116,1401,2017,True,1402-07-10,2,وزیری,شومیز
104176,صد درصد پسرانه, Guy Stuff: The Body Book for Boys,90000,25,3.76,104176,978-6001884399,112,1401,2017,True,1402-07-10,1,رقعی,شومیز
60109,175 روش برای کسب موفقیت و تغییر انگیزه," 1,001 Ways to Motivate Yourself and Others",26250,25,3.67,60109,978-9642878536,208,1401,1996,True,1402-07-10,9,جیبی,شومیز
112609,ترفندهای سرمایه گذاری در بازار بورس, Investment tricks in the stock market,67500,25,3.96,112609,978-6226855624,152,1399,,True,1402-07-08,2,رقعی,شومیز
3721,مگره و دیوار سنگی, Maigret Stonewalled,23200,20,3.68,3721,9789643637309,166,1399,1931,True,1402-07-06,2,پالتویی,شومیز
106149,شب سمور, Shab-e Samoor,165000,25,3.56,106149,978-6226462303,371,1401,,True,1402-07-08,2,رقعی,شومیز
116994,قصه های طلایی 1, Ghesehaye Talaee,24000,20,3.01,116994,978-6008732020,12,,,True,1402-07-10,,سلطانی,شومیز
104136,درآمدی بر طراحی سامانه تدبیر بودجه ای, Introducing budgeting ‭system design,6800,20,3.43,104136,978-6004071987,77,1397,,True,1402-07-06,1,وزیری,شومیز
28676,پیام فوری از مادر زمین, Urgent Message from Mother,56000,20,3.73,28676,978-9641941217,200,1395,2005,True,1402-07-08,3,رقعی,شومیز
85455,من کافی هستم, I Am Enough,41250,25,3.91,85455,978-6229790045,32,1401,2018,True,1402-07-10,1,خشتی,شومیز
12440,عنکبوت ها و عقرب های ایران, Spiders and Scorpions of Iran,157500,10,3.35,12440,978-6008351009,360,1400,2016,True,1402-07-08,2,پالتویی,شومیز
19767,دو تفنگدار ناشی!, Do Tofangdar-e Naashi,37500,25,3.67,19767,978-6006715872,176,1397,,True,1402-07-08,1,رقعی,شومیز
121175,رنگ و شناخت محیط, The book of color and knowledge of the environment,45500,30,3.64,121175,978-9643496401,24,1399,,True,1402-07-10,6,رحلی,شومیز
103452,ماجرای هزار اشرفی, The story of Hezar Ashrafi,14000,30,3.9,103452,978-6008168027,12,1395,,True,1402-07-06,1,خشتی,شومیز
112031,به کودکانمان چه هدیه می دهیم, Was schenken wir unseren Kindern?,34000,15,3.03,112031,978-9643244880,56,1401,2019,True,1402-07-10,1,رقعی,شومیز
93627,طرح و نقشه ای برای شادکامی, Happiness by desig,103600,30,3.99,93627,978-6225734142,232,1401,2014,True,1402-07-08,2,رقعی,شومیز
86671,700 نکته ی کار و کسب, 700Nokte,102000,15,3.97,86671,978-6226659895,268,1401,,True,1402-07-08,1,رقعی,شومیز
5730,کارد زدن به گوجه فرنگی, cutting tomato,63750,25,2.86,5730,9786006605869,192,1401,2015,True,1402-07-10,3,رقعی,شومیز
100322,زندگی مخفی و خیالی مری, zendegi ,31500,30,3.19,100322,‏‫‬978-6229251843,56,1401,,True,1402-07-10,1,رقعی,شومیز
26544,رفتار پدر و مادر با کودک و نوجوان, Parents' treatment of children and adolescents,198000,10,3.56,26544,978-9640011416,569,1399,2019,True,1402-07-10,13,وزیری,جلدسخت
82483,لیرشاه, The Story of King Lear,21000,25,3.14,82483,978-6226931007,80,1398,2011,True,1402-07-08,1,وزیری,شومیز
120685,قرارداد, Le contrat,28000,20,3.31,120685,978-9649354743,104,1392,1988,True,1402-07-10,1,رقعی,شومیز
56611,پیروزی در فروش های پیچیده, Conversations That Win the Complex Sale,82500,25,3.76,56611,978-6005253788,206,1395,2011,True,1402-07-10,1,رقعی,شومیز
90395,فسقلی در دریا, Fesgheli in the sea,48750,25,3.7,90395,978-6227157017,10,1401,,True,1402-07-10,3,خشتی,جلدنرم
17685,جنبش اجتماعی چیست؟, What Is a Social Movement?,93750,25,3.89,17685,978-6004054812,254,1401,2014,True,1402-07-10,5,رقعی,شومیز
25407,فساد و مقبولیت قانون, Corruption,126000,30,3.02,25407,978-9641855446,228,1402,,True,1402-07-06,3,رقعی,شومیز
116058,بچه های شهر ما, The children of our city,15000,25,3.29,116058,978-9640206607,24,1401,,True,1402-07-08,4,خشتی,شومیز
83751,سخنرانی یک تمساح, But I AM an Alligator,26250,25,3.54,83751,978-9642225415,16,1401,2008,True,1402-07-08,1,خشتی,شومیز
2624,ماکاموشی، موش و گربه در خانه ی اشباح, makamoushi 2,97500,25,3.49,2624,9786008655879,130,1402,2018,True,1402-07-08,26,رقعی,شومیز
119923,جرونیمو به دنبال گنج گمشده چشم زمردی, Cat And Mouse In A Haunted House,8000,20,3.53,119923,978-6003770645,112,1397,2004,True,1402-07-08,2,رقعی,شومیز
40693,ننه نامه, Naneh Nameh,22500,25,3.74,40693,978-6004611237,88,1400,,True,1402-07-08,2,رقعی,شومیز
90538,خدای مهربان, kind God,52000,20,3.17,90538,978-6007957462,10,1399,,True,1402-07-10,3,خشتی,زرکوب
61408,ریکی ریکوتا و موش آهنی خفن 2, Ricky Ricotta's Mighty Robot vs. the Mutant Mosquitoes from Mercury,27000,25,3.54,61408,978-6003748934,128,1400,2000,True,1402-07-08,1,رقعی,شومیز
92333,جای من را پیدا کن! جلد 3, Find my place!,18750,25,3.93,92333,978-6007579329,24,1398,,True,1402-07-10,2,رحلی,شومیز
51246,جوان, Young,14000,30,3.48,51246,978-9640903506,144,1393,,True,1402-07-06,3,رقعی,شومیز
80224,گزارش یک مهمانی, Gozaresh Yek Mehmani,7500,25,3.82,80224,978-6008099727,56,1398,,True,1402-07-08,1,جیبی,شومیز
112518,هم سفر مرغ عشق, Ham-safar Morgh-e Eshgh,88000,20,3.94,112518,978-9643284794,407,1385,,True,1402-07-10,1,رقعی,شومیز
44960,ویلیام گلسر, William Glasser,37500,25,3.68,44960,978-6002500625,192,1395,,True,1402-07-10,2,پالتویی,شومیز
23267,با پرنده ها, The Journey,13300,30,3.81,23267,978-6004620611,44,1396,2016,True,1402-07-08,2,خشتی,شومیز
102066,سلامتی, Big Words for Little People: Being Healthy,21750,25,3.82,102066,978-6227924749,30,1402,2021,True,1402-07-06,2,خشتی,شومیز
62030,شاهنامهٔ فردوسی (دفتر ششم), Shahnameh,720000,10,3.37,62030,978-6004903400,832,1401,,True,1402-07-06,2,وزیری,جلدسخت
84602,چهل متل از کودکی, Chehel Matal...,28000,30,3.26,84602,978-9641940425,170,1389,,True,1402-07-08,1,خشتی,شومیز
101655,کوسه کوچولو, The Adventures of the Baby Shark,51750,25,3.98,101655,978-6226458238,32,1399,2018,True,1402-07-08,1,وزیری,سلفونی
95787,کودکان و رویارویی با فاجعه, Parent's handbook helping children cope with disaster,9000,25,3.5,95787,978-6004772846,32,1399,,True,1402-07-10,1,رحلی,شومیز
