id,name
1352,مهرگان خرد
1346,بدرقه جاویدان
1847,کلاغ سفید
1539,زعفران
2894,پیام صنوبر
1792,تابان خرد
1207,آرایان
1981,نشر فرهنگ اسلامی
3147,دانشگاه قم
1957,فخراکیا
3091,موسسه انتشارات علمی دانشگاه صنعتی شریف
2029,آراسته
1259,چابک اندیش
3074,ترنج مهرآیین
1670,واحه
38,دوستان
2004,انقلاب اسلامی
2911,ثانیه‏‫
2219,کانون اندیشه جوان
1280,اشاره
1859,اژدهای طلایی
1298,گام نو
80,فردوس
1606,طاهر
3079,پوشه
1732,نهادگرا
2379,فرهنگ مکتوب‏‫
1224,آسیم‏‫
1596,خاموش
1914,بذر خرد
3106,رایبد
2560,بزنگاه
1758,ناصرالدین
4334,بهدیس
1733,پاگرد
2589,سفیر
3284,نواندیشان دنیای کتاب
1959,مارلیک
3019,آفرینش
1419,ویژه نشر
2121,برج
3173,نشر تا
1373,مرکز اسناد انقلاب
1780,آرینا
15,آریابان
2648,کیوان
1192,قاصدک صبا
3210,کومینو
1885,داستان جمعه
1306,پندار تابان
2870,پرستو قلم چی
1422,جاجرمی
1158,بهنام
1424,معیار علم
1164,شادان
1648,شمع و مه
1684,قصیده سرا
1370,مانا کتاب
3271,نشر سنگلج
61,میلکان
88,پوینده
1855,اسبار
1179,بیدگل
84,لوح فکر
3055,گام اول
1214,شمشاد
1713,مهماز
2666,فرهنگ ایلیا
1745,معارف انقلاب
1873,نشر معارف
74,آشیانه کتاب
1281,فرهنگ معاصر
86,اساطیر
1605,صراط
1210,افکار
2105,آوانوشت
55,مازیار
1763,پارسیک
2335,نظام الملک
1920,ارشدان
1235,بنیاد فرهنگ زندگی
1222,مانیاهنر‏‫
2759,خردگان
1368,شب خیز
3027,انتشارات گندمان
71,یوبان
1746,ژرف
79,توس
2710,آواهیا
100,پریان
1494,پایان
1561,پژواک دانش
1612,کتاب پرنده
1455,پرنده
1797,سینا
1496,اسرار دانش
18,آگه
2376,نشر مون
2785,آراه
1640,دنیس
2888,نشر توسعه ایران
2986,بامداد نو
2239,دفتر پژوهش های فرهنگی
1667,رخداد کویر
21,آوین
4374,آتون کتاب
1742,خرد سرخ
1743,امید صبا
3114,دانشگاه خوارزمی
1124,نسل آفتاب
45,شورآفرین
2048,شقایق
1446,آوای خاور
2150,دیدآور
4395,ارتباط نوین
1628,یارمانا
2061,سایلاو
2719,قصه باران
1594,چیمن
2720,آباد بوم
1219,همان
89,ایران بان
2925,مان کتاب
1886,پژواک
1478,کلام
