group_id,book_code
58007,58007
23360,23360
83279,83279
49064,49064
62268,62268
51484,51484
100431,100431
84251,84251
61804,61804
57373,57373
96744,96744
20147,20147
20147,64908
16624,16624
35880,35880
35880,59144
81030,81030
36982,36982
26539,26539
26539,104115
1345,1345
82333,82333
27553,27553
47246,47246
25254,25254
85943,85943
43161,43161
65475,65475
99664,99664
86145,86145
120280,120280
33842,33842
116497,116497
105458,105458
81577,81577
33993,33993
63503,63503
61802,61802
109830,109830
89500,89500
14933,14933
107974,107974
81461,81461
7658,7658
105138,105138
11751,11751
81627,81627
46694,46694
30493,30493
23897,23897
67381,67381
120456,120456
109225,109225
72365,72365
38302,38302
112154,112154
44706,44706
38746,38746
28958,28958
894,894
109691,109691
58181,58181
58181,112676
20240,31932
20240,20240
112705,112705
21414,21414
81489,81489
65926,65926
40225,40225
94423,94423
11084,11084
106741,106741
39348,39348
39348,89265
119264,119264
67395,67395
55649,55649
101278,101278
80484,80484
32583,32583
23219,23219
5190,5190
67155,67155
90301,90301
75111,75111
42195,42195
91537,91537
67840,67840
49997,49997
38582,38582
54014,54014
41195,41195
93396,93396
75785,75785
61848,61848
111553,111553
35149,35149
82874,82874
102405,102405
99242,99242
52808,52808
79579,79579
117304,117304
79046,79046
113770,113770
69650,69650
58534,58534
47322,47322
18533,18533
59077,59077
19901,19901
19901,19902
113342,113342
2922,2922
5430,5430
109595,109595
107603,107603
55102,55102
116441,116441
7937,7937
102354,102354
67477,67477
121340,121340
119183,119183
14923,14923
95240,95240
104827,104827
53826,53826
17526,17526
55288,55288
107767,107767
107767,108630
107767,108622
109249,109249
58683,58683
19678,19678
19678,44727
50050,50050
76065,76065
110399,110399
81360,81360
26187,26187
107534,107534
114763,114763
107995,107995
27039,27039
7931,7931
15588,15588
88250,88250
45044,45044
7144,7144
487,487
487,96663
11076,11076
114505,114505
19801,19801
75582,75582
38600,38600
44721,44721
37926,37926
1045,2405
1045,113619
1045,13509
1045,1045
1045,3156
1045,33085
1045,64304
1045,65129
1045,112800
110088,110088
110957,110957
97587,97587
72812,72812
33845,33845
98065,98065
30931,30931
64094,64094
14573,14573
14573,53982
41338,41338
107301,107301
102655,102655
116887,116887
7821,7821
64292,64292
26317,26317
96549,96549
86413,86413
70107,70107
12056,12056
95474,95474
105452,105452
96102,96102
117895,117895
39915,39915
122050,122050
30854,30854
117933,117933
56142,56142
104085,104085
167,167
167,3270
167,3271
100729,100729
9848,9848
75102,75102
114116,114116
97147,97147
79111,79111
102546,102546
113211,113211
15358,15358
7045,7045
107912,107912
71185,71185
41432,41432
24610,24610
70776,70776
42780,42780
6880,6880
61526,61526
46068,46068
81383,81383
45087,45087
61256,61256
109215,109215
90585,90585
39502,39502
80215,80215
102416,102416
73546,73546
43671,43671
82963,82963
50402,50402
94282,94282
89868,89868
79713,79713
68279,68279
18738,18738
113774,113774
3911,3911
3911,4055
886,34474
886,1830
886,886
886,19089
886,20929
886,62373
886,57221
886,61463
886,96624
87333,87333
52742,52742
15792,15792
15792,15793
85575,85575
73699,73699
116863,116863
44263,44263
15681,15681
63129,63129
98504,98504
94104,94104
91084,91087
91084,91085
91084,95673
91084,95674
91084,95684
91084,91088
91084,95658
91084,95678
91084,95680
91084,95681
91084,107119
91084,107120
91084,107122
91084,91084
91084,91089
91084,95675
91084,95676
91084,95677
91084,95679
91084,95682
91084,95683
91084,95685
91084,107121
91084,107123
114290,114290
114290,120747
54947,54947
29624,29624
86006,86006
37669,37669
104540,104540
88313,88313
121479,121479
110342,110342
67396,67396
60455,60455
20526,20526
104415,104415
56590,56590
24957,24957
24957,70240
40923,40923
1400,1400
120699,120699
60550,60550
60550,31711
29992,29992
81712,81712
101998,101998
104255,104255
1612,1612
65027,65027
25103,25103
33475,33475
62820,62820
65951,65951
97880,97880
16761,16761
103963,103963
107273,107273
110199,110199
16481,16481
73239,73239
94218,94218
18359,18359
72190,72190
87739,87739
97273,97273
18739,18739
51171,51171
10484,10484
109327,109327
90857,90857
43104,43104
93762,93762
76769,76769
50833,50833
51151,51151
103569,103569
105447,105447
42407,42407
29626,29626
38881,38881
64315,64315
61194,61194
3071,3071
97309,97309
16851,16851
90380,90380
44859,44859
1340,1340
1340,3332
1340,94276
34398,34398
11703,11703
93569,93569
49095,49095
113034,113034
13877,13877
13877,13878
57909,57909
57909,71651
99457,99457
37363,37363
15708,15708
104886,104886
62368,62368
1055,49762
1055,1055
25681,25681
93877,93877
83883,83883
50591,50591
97306,97306
35819,35819
74522,74522
97109,97109
58407,58407
50949,50949
28755,45897
28755,28755
28755,30414
80383,80383
101667,101667
38371,38371
27476,27476
47547,47547
1717,1717
1717,12428
1717,31411
1717,12429
1717,49398
1717,69860
1717,60541
85108,85108
32231,32231
32231,32232
32231,32233
87433,87433
113976,113976
20361,23661
20361,20361
37955,37955
86186,86186
26275,73120
26275,26275
54186,54186
45316,45316
47081,47081
37598,37598
83416,83416
120424,120424
45277,45277
78786,78786
25421,25421
99232,99232
24737,24737
44401,44401
35053,35053
97101,97101
109856,109856
105012,105012
89555,89555
109625,109625
91620,91620
7845,7845
51773,51773
51052,51052
